version,size_test,size_training,succHe_DT,succZi_DT,succG75_DT,succG60_DT,error_DT,recall_DT,precision_DT,fscore_DT,gscore_DT,mcc_DT,auc_DT,aucec_DT,tpr_DT,tnr_DT,fpr_DT,fnr_DT,tp_DT,fn_DT,tn_DT,fp_DT
ant-1.3.csv,125,13308,0.0,0.0,0.0,1.0,0.328,0.7,0.2857142857142857,0.40579710144927533,0.6829268292682927,0.27534439587696735,0.6335714285714286,0.5806851640627072,0.7,0.6666666666666666,0.3333333333333333,0.3,14.0,6.0,70.0,35.0
ant-1.4.csv,178,13308,0.0,0.0,0.0,0.0,0.34831460674157305,0.475,0.31666666666666665,0.37999999999999995,0.5669024915410642,0.15708160138336705,0.6158514492753623,0.593712058307962,0.475,0.7028985507246377,0.2971014492753623,0.525,19.0,21.0,97.0,41.0
ant-1.5.csv,293,13308,0.0,0.0,0.0,0.0,0.37542662116040953,0.53125,0.15178571428571427,0.2361111111111111,0.5789311724279413,0.10736256149780363,0.5542983716475096,0.5226407860121546,0.53125,0.6360153256704981,0.36398467432950193,0.46875,17.0,15.0,166.0,95.0
ant-1.6.csv,351,13308,0.0,0.0,0.0,0.0,0.36182336182336183,0.5108695652173914,0.3643410852713178,0.4253393665158371,0.584671609797238,0.17720339684158345,0.5651544401544402,0.5316162429002191,0.5108695652173914,0.6833976833976834,0.3166023166023166,0.4891304347826087,47.0,45.0,177.0,82.0
ant-1.7.csv,745,13308,0.0,0.0,0.0,1.0,0.3825503355704698,0.6144578313253012,0.3157894736842105,0.4171779141104295,0.6163766183346556,0.19545824642260923,0.6007449487067441,0.5362559062867905,0.6144578313253012,0.6183074265975821,0.38169257340241797,0.3855421686746988,102.0,64.0,358.0,221.0
camel-1.0.csv,339,12216,0.0,0.0,0.0,0.0,0.2920353982300885,0.3076923076923077,0.0425531914893617,0.07476635514018691,0.43183897529734677,0.01356367431664659,0.5550967437470505,0.4614563396924536,0.3076923076923077,0.7239263803680982,0.27607361963190186,0.6923076923076923,4.0,9.0,236.0,90.0
camel-1.2.csv,608,12216,0.0,0.0,0.0,0.0,0.42269736842105265,0.3611111111111111,0.39593908629441626,0.37772397094430993,0.47560975609756095,0.05884144732200282,0.5433437263794406,0.5141710573503733,0.3611111111111111,0.6964285714285714,0.30357142857142855,0.6388888888888888,78.0,138.0,273.0,119.0
camel-1.4.csv,872,12216,0.0,0.0,0.0,0.0,0.38188073394495414,0.4689655172413793,0.20987654320987653,0.2899786780383795,0.544087793359438,0.09002345762788454,0.5626713465825547,0.47933636159081916,0.4689655172413793,0.6478679504814305,0.35213204951856947,0.5310344827586206,68.0,77.0,471.0,256.0
camel-1.6.csv,965,12216,0.0,0.0,0.0,0.0,0.37098445595854923,0.3670212765957447,0.22402597402597402,0.2782258064516129,0.4797456657857157,0.050491965774284026,0.5079992606588352,0.499226087472017,0.3670212765957447,0.6924066924066924,0.3075933075933076,0.6329787234042553,69.0,119.0,538.0,239.0
ckjm.csv,10,14990,1.0,1.0,1.0,1.0,0.1,0.8,1.0,0.888888888888889,0.888888888888889,0.816496580927726,0.84,0.724574540503744,0.8,1.0,0.0,0.2,4.0,1.0,5.0,0.0
forrest-0.7.csv,29,14971,0.0,0.0,0.0,0.0,0.41379310344827586,0.2,0.1111111111111111,0.14285714285714285,0.30769230769230776,-0.10886621079036346,0.2708333333333333,0.5255172413793103,0.2,0.6666666666666666,0.3333333333333333,0.8,1.0,4.0,16.0,8.0
ivy-1.1.csv,111,14296,0.0,0.0,0.0,0.0,0.43243243243243246,0.4603174603174603,0.6744186046511628,0.5471698113207547,0.5580079230333899,0.17151045478886298,0.5887896825396826,0.543072683663333,0.4603174603174603,0.7083333333333334,0.2916666666666667,0.5396825396825397,29.0,34.0,34.0,14.0
ivy-1.4.csv,241,14296,0.0,0.0,0.0,1.0,0.3983402489626556,0.625,0.1,0.1724137931034483,0.6122448979591836,0.11369050934398006,0.5897222222222223,0.5382710505009618,0.625,0.6,0.4,0.375,10.0,6.0,135.0,90.0
ivy-2.0.csv,352,14296,0.0,0.0,0.0,1.0,0.3465909090909091,0.55,0.1746031746031746,0.2650602409638554,0.6027397260273973,0.14343657365730067,0.5489583333333333,0.48119153687520627,0.55,0.6666666666666666,0.3333333333333333,0.45,22.0,18.0,208.0,104.0
log4j-1.0.csv,135,14551,0.0,0.0,0.0,0.0,0.31851851851851853,0.4117647058823529,0.3783783783783784,0.39436619718309857,0.5371372356123953,0.17910307117514265,0.569889341875364,0.5682493796627659,0.4117647058823529,0.7722772277227723,0.22772277227722773,0.5882352941176471,14.0,20.0,78.0,23.0
log4j-1.1.csv,109,14551,0.0,0.0,0.0,0.0,0.3211009174311927,0.40540540540540543,0.5357142857142857,0.46153846153846156,0.5424456022065584,0.24369026881767067,0.5486111111111112,0.5499440156376658,0.40540540540540543,0.8194444444444444,0.18055555555555555,0.5945945945945946,15.0,22.0,59.0,13.0
log4j-1.2.csv,205,14551,0.0,0.0,0.0,0.0,0.7219512195121951,0.23809523809523808,0.9183673469387755,0.37815126050420167,0.36144578313253006,-0.0074877488337279875,0.515542328042328,0.4979259774630411,0.23809523809523808,0.75,0.25,0.7619047619047619,45.0,144.0,12.0,4.0
lucene-2.0.csv,195,14218,0.0,0.0,0.0,0.0,0.39487179487179486,0.42857142857142855,0.609375,0.5032258064516129,0.5479768786127167,0.19994056675537406,0.603180473372781,0.5741595348283624,0.42857142857142855,0.7596153846153846,0.2403846153846154,0.5714285714285714,39.0,52.0,79.0,25.0
lucene-2.2.csv,247,14218,0.0,0.0,0.0,0.0,0.46963562753036436,0.3958333333333333,0.6627906976744186,0.4956521739130434,0.5104374659647848,0.11827900991663692,0.5298004314994607,0.5589483062682319,0.3958333333333333,0.7184466019417476,0.2815533980582524,0.6041666666666666,57.0,87.0,74.0,29.0
lucene-2.4.csv,340,14218,0.0,0.0,0.0,0.0,0.45294117647058824,0.3891625615763547,0.7247706422018348,0.5064102564102565,0.5194813176007866,0.1788582441686026,0.536730070835281,0.5265075913140839,0.3891625615763547,0.781021897810219,0.21897810218978103,0.6108374384236454,79.0,124.0,107.0,30.0
pbeans1.csv,26,14923,0.0,0.0,0.0,0.0,0.5,0.4,0.8888888888888888,0.5517241379310346,0.5405405405405406,0.20664347329268892,0.5833333333333334,0.4568736539842069,0.4,0.8333333333333334,0.16666666666666666,0.6,8.0,12.0,5.0,1.0
pbeans2.csv,51,14923,0.0,0.0,0.0,1.0,0.23529411764705882,0.6,0.42857142857142855,0.5,0.6875,0.36020627964390817,0.6451219512195122,0.590089256198347,0.6,0.8048780487804879,0.1951219512195122,0.4,6.0,4.0,33.0,8.0
poi-1.5.csv,237,13622,0.0,0.0,0.0,0.0,0.510548523206751,0.24822695035460993,0.7,0.36649214659685864,0.3836005682971382,0.11066706015024672,0.48459663120567376,0.5429951423788165,0.24822695035460993,0.84375,0.15625,0.75177304964539,35.0,106.0,81.0,15.0
poi-2.0.csv,314,13622,0.0,0.0,0.0,0.0,0.46178343949044587,0.32432432432432434,0.09090909090909091,0.1420118343195266,0.4125698018175846,-0.07112148048278256,0.5014635574202361,0.4900956596226582,0.32432432432432434,0.5667870036101083,0.4332129963898917,0.6756756756756757,12.0,25.0,157.0,120.0
poi-2.5.csv,385,13622,0.0,0.0,0.0,1.0,0.37402597402597404,0.5201612903225806,0.8376623376623377,0.6417910447761194,0.6357895663270919,0.3300080388505537,0.6621438662585354,0.6382630310257322,0.5201612903225806,0.8175182481751825,0.18248175182481752,0.4798387096774194,129.0,119.0,112.0,25.0
poi-3.0.csv,442,13622,0.0,0.0,0.0,0.0,0.49095022624434387,0.3487544483985765,0.7424242424242424,0.47457627118644063,0.48366851258136595,0.14465574072655243,0.5158595079684357,0.5309540463335417,0.3487544483985765,0.7888198757763976,0.2111801242236025,0.6512455516014235,98.0,183.0,127.0,34.0
synapse-1.0.csv,157,14365,0.0,0.0,0.0,0.0,0.3184713375796178,0.4375,0.14583333333333334,0.21875000000000003,0.5411673753382296,0.09634397895110519,0.48648049645390073,0.4687348121919045,0.4375,0.7092198581560284,0.2907801418439716,0.5625,7.0,9.0,100.0,41.0
synapse-1.1.csv,222,14365,0.0,0.0,0.0,0.0,0.33783783783783783,0.4666666666666667,0.39436619718309857,0.4274809160305343,0.5707434052757794,0.19160995548515655,0.5754115226337448,0.573842450317558,0.4666666666666667,0.7345679012345679,0.2654320987654321,0.5333333333333333,28.0,32.0,119.0,43.0
synapse-1.2.csv,256,14365,0.0,0.0,0.0,0.0,0.3359375,0.46511627906976744,0.5,0.4819277108433735,0.578420467185762,0.23418779832639566,0.5961354309165526,0.5574522929797868,0.46511627906976744,0.7647058823529411,0.23529411764705882,0.5348837209302325,40.0,46.0,130.0,40.0
tomcat.csv,858,14142,0.0,0.0,0.0,1.0,0.38927738927738925,0.6493506493506493,0.1400560224089636,0.2304147465437788,0.627415682744745,0.1485959490044792,0.5799258360077822,0.5262558603186648,0.6493506493506493,0.6069142125480154,0.39308578745198464,0.35064935064935066,50.0,27.0,474.0,307.0
velocity-1.4.csv,196,14361,0.0,0.0,0.0,0.0,0.6071428571428571,0.25170068027210885,0.8043478260869565,0.383419689119171,0.3847653711165995,0.06950480468569159,0.5598361793697071,0.4337275683386496,0.25170068027210885,0.8163265306122449,0.1836734693877551,0.7482993197278912,37.0,110.0,40.0,9.0
velocity-1.5.csv,214,14361,0.0,0.0,0.0,0.0,0.5700934579439252,0.16901408450704225,0.8571428571428571,0.2823529411764706,0.286718200983837,0.15896886776515048,0.5554577464788732,0.40864749665452865,0.16901408450704225,0.9444444444444444,0.05555555555555555,0.8309859154929577,24.0,118.0,68.0,4.0
velocity-1.6.csv,229,14361,0.0,0.0,0.0,0.0,0.3624454148471616,0.24358974358974358,0.4418604651162791,0.3140495867768595,0.3777690802348337,0.10272323393810147,0.5128629648497198,0.41706491840674104,0.24358974358974358,0.8410596026490066,0.15894039735099338,0.7564102564102564,19.0,59.0,127.0,24.0
xalan-2.4.csv,723,11680,0.0,0.0,0.0,0.0,0.32503457814661135,0.4818181818181818,0.22943722943722944,0.31085043988269795,0.57394291688968,0.14746110352929356,0.5853774284443126,0.5541319193139812,0.4818181818181818,0.7096247960848288,0.2903752039151713,0.5181818181818182,53.0,57.0,435.0,178.0
xalan-2.5.csv,803,11680,0.0,0.0,0.0,0.0,0.42839352428393523,0.3772609819121447,0.5863453815261044,0.4591194968553459,0.5025430671864604,0.14007795099087478,0.5501764062810575,0.6478337326355251,0.3772609819121447,0.7524038461538461,0.24759615384615385,0.6227390180878553,146.0,241.0,313.0,103.0
xalan-2.6.csv,885,11680,0.0,0.0,0.0,0.0,0.4124293785310734,0.46228710462287104,0.5688622754491018,0.5100671140939598,0.5556294031636315,0.1630654366181037,0.5718685515414703,0.5387600287470016,0.46228710462287104,0.6962025316455697,0.3037974683544304,0.537712895377129,190.0,221.0,330.0,144.0
xalan-2.7.csv,909,11680,0.0,0.0,0.0,0.0,0.6325632563256326,0.3596881959910913,1.0,0.529074529074529,0.529074529074529,0.0821694968014952,0.5835695484915975,0.5538263235502724,0.3596881959910913,1.0,0.0,0.6403118040089086,323.0,575.0,11.0,0.0
xerces-1.2.csv,440,13357,0.0,0.0,0.0,0.0,0.5022727272727273,0.29577464788732394,0.109375,0.1596958174904943,0.3813454395377631,-0.12434934993531241,0.3930684377266308,0.5171263303886766,0.29577464788732394,0.5365853658536586,0.4634146341463415,0.704225352112676,21.0,50.0,198.0,171.0
xerces-1.3.csv,453,13357,0.0,0.0,0.0,0.0,0.4260485651214128,0.5652173913043478,0.19306930693069307,0.2878228782287823,0.5703225806451612,0.10173951906673064,0.519946407004831,0.6380924502289987,0.5652173913043478,0.5755208333333334,0.4244791666666667,0.43478260869565216,39.0,30.0,221.0,163.0
xerces-1.4.csv,588,13357,0.0,0.0,0.0,1.0,0.41156462585034015,0.5034324942791762,0.8979591836734694,0.6451612903225806,0.627987585238214,0.29939750877709453,0.6988876596905451,0.5760204526542065,0.5034324942791762,0.8344370860927153,0.16556291390728478,0.4965675057208238,220.0,217.0,126.0,25.0
xerces-init.csv,162,13357,0.0,0.0,0.0,0.0,0.4876543209876543,0.37662337662337664,0.48333333333333334,0.4233576642335766,0.4728974784840707,0.012324351214505817,0.5005347593582887,0.6279311970905699,0.37662337662337664,0.6352941176470588,0.36470588235294116,0.6233766233766234,29.0,48.0,54.0,31.0
