configuration,window,split,type,size,defects
1,1,1,tr,162,77
1,1,1,test,453,69
1,1,2,tr,440,71
1,1,2,test,109,37
1,1,2,test,135,34
1,1,2,test,588,437
1,1,3,tr,453,69
1,1,3,test,205,189
1,1,4,tr,832,508
1,1,4,test,723,110
1,1,5,tr,205,189
1,1,5,test,803,387
1,1,6,tr,723,110
1,1,6,test,351,92
1,1,6,test,293,32
1,1,6,test,125,20
1,1,6,test,178,40
1,1,7,tr,803,387
1,1,7,test,26,20
1,1,7,test,885,411
1,1,8,tr,947,184
1,1,8,test,6,1
1,1,9,tr,911,431
1,1,9,test,111,63
1,1,9,test,29,5
1,1,10,tr,6,1
1,1,10,test,909,898
1,1,11,tr,140,68
1,1,11,test,195,91
1,1,12,tr,909,898
1,1,12,test,858,77
1,1,12,test,196,147
1,1,12,test,745,166
1,1,12,test,241,16
1,1,13,tr,195,91
1,1,13,test,214,142
1,1,13,test,247,144
1,1,13,test,442,281
1,1,13,test,32,2
1,1,13,test,385,248
1,1,13,test,314,37
1,1,13,test,51,10
1,1,13,test,237,141
1,1,13,test,157,16
1,1,14,tr,2040,406
1,1,14,test,222,60
1,1,15,tr,2079,1021
1,1,15,test,10,5
1,1,15,test,256,86
1,1,16,tr,222,60
1,1,16,test,340,203
1,1,16,test,229,78
1,1,17,tr,266,91
1,1,17,test,608,216
1,1,17,test,965,188
1,1,17,test,352,40
1,1,17,test,872,145
1,1,17,test,339,13
1,2,1,tr,162,77
1,2,1,test,109,37
1,2,1,test,135,34
1,2,1,test,453,69
1,2,1,test,588,437
1,2,2,tr,602,148
1,2,2,test,205,189
1,2,2,test,109,37
1,2,2,test,135,34
1,2,2,test,588,437
1,2,3,tr,893,140
1,2,3,test,205,189
1,2,3,test,723,110
1,2,4,tr,1285,577
1,2,4,test,803,387
1,2,4,test,723,110
1,2,5,tr,1037,697
1,2,5,test,803,387
1,2,5,test,351,92
1,2,5,test,293,32
1,2,5,test,125,20
1,2,5,test,178,40
1,2,6,tr,928,299
1,2,6,test,26,20
1,2,6,test,351,92
1,2,6,test,293,32
1,2,6,test,885,411
1,2,6,test,125,20
1,2,6,test,178,40
1,2,7,tr,1526,497
1,2,7,test,26,20
1,2,7,test,6,1
1,2,7,test,885,411
1,2,8,tr,1750,571
1,2,8,test,111,63
1,2,8,test,6,1
1,2,8,test,29,5
1,2,9,tr,1858,615
1,2,9,test,111,63
1,2,9,test,29,5
1,2,9,test,909,898
1,2,10,tr,917,432
1,2,10,test,195,91
1,2,10,test,909,898
1,2,11,tr,146,69
1,2,11,test,858,77
1,2,11,test,196,147
1,2,11,test,745,166
1,2,11,test,195,91
1,2,11,test,241,16
1,2,12,tr,1049,966
1,2,12,test,247,144
1,2,12,test,442,281
1,2,12,test,32,2
1,2,12,test,858,77
1,2,12,test,196,147
1,2,12,test,385,248
1,2,12,test,157,16
1,2,12,test,214,142
1,2,12,test,314,37
1,2,12,test,745,166
1,2,12,test,51,10
1,2,12,test,237,141
1,2,12,test,241,16
1,2,13,tr,1104,989
1,2,13,test,214,142
1,2,13,test,247,144
1,2,13,test,442,281
1,2,13,test,32,2
1,2,13,test,385,248
1,2,13,test,314,37
1,2,13,test,222,60
1,2,13,test,51,10
1,2,13,test,237,141
1,2,13,test,157,16
1,2,14,tr,2235,497
1,2,14,test,10,5
1,2,14,test,222,60
1,2,14,test,256,86
1,2,15,tr,4119,1427
1,2,15,test,10,5
1,2,15,test,340,203
1,2,15,test,229,78
1,2,15,test,256,86
1,2,16,tr,2301,1081
1,2,16,test,608,216
1,2,16,test,340,203
1,2,16,test,229,78
1,2,16,test,965,188
1,2,16,test,352,40
1,2,16,test,872,145
1,2,16,test,339,13
1,2,17,tr,488,151
1,2,17,test,608,216
1,2,17,test,965,188
1,2,17,test,352,40
1,2,17,test,872,145
1,2,17,test,339,13
1,3,1,tr,162,77
1,3,1,test,205,189
1,3,1,test,109,37
1,3,1,test,135,34
1,3,1,test,453,69
1,3,1,test,588,437
1,3,2,tr,602,148
1,3,2,test,205,189
1,3,2,test,723,110
1,3,2,test,109,37
1,3,2,test,135,34
1,3,2,test,588,437
1,3,3,tr,1055,217
1,3,3,test,205,189
1,3,3,test,803,387
1,3,3,test,723,110
1,3,4,tr,1725,648
1,3,4,test,803,387
1,3,4,test,723,110
1,3,4,test,351,92
1,3,4,test,293,32
1,3,4,test,125,20
1,3,4,test,178,40
1,3,5,tr,1490,766
1,3,5,test,803,387
1,3,5,test,26,20
1,3,5,test,351,92
1,3,5,test,293,32
1,3,5,test,885,411
1,3,5,test,125,20
1,3,5,test,178,40
1,3,6,tr,1760,807
1,3,6,test,26,20
1,3,6,test,351,92
1,3,6,test,6,1
1,3,6,test,293,32
1,3,6,test,885,411
1,3,6,test,125,20
1,3,6,test,178,40
1,3,7,tr,1731,686
1,3,7,test,111,63
1,3,7,test,26,20
1,3,7,test,6,1
1,3,7,test,885,411
1,3,7,test,29,5
1,3,8,tr,2473,681
1,3,8,test,111,63
1,3,8,test,6,1
1,3,8,test,29,5
1,3,8,test,909,898
1,3,9,tr,2661,1002
1,3,9,test,111,63
1,3,9,test,195,91
1,3,9,test,29,5
1,3,9,test,909,898
1,3,10,tr,1864,616
1,3,10,test,858,77
1,3,10,test,196,147
1,3,10,test,745,166
1,3,10,test,195,91
1,3,10,test,909,898
1,3,10,test,241,16
1,3,11,tr,1057,500
1,3,11,test,247,144
1,3,11,test,442,281
1,3,11,test,32,2
1,3,11,test,858,77
1,3,11,test,196,147
1,3,11,test,385,248
1,3,11,test,157,16
1,3,11,test,214,142
1,3,11,test,314,37
1,3,11,test,745,166
1,3,11,test,195,91
1,3,11,test,51,10
1,3,11,test,237,141
1,3,11,test,241,16
1,3,12,tr,1055,967
1,3,12,test,247,144
1,3,12,test,442,281
1,3,12,test,32,2
1,3,12,test,858,77
1,3,12,test,196,147
1,3,12,test,385,248
