name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
log4j,1,org.apache.log4j.Category,49,1,3,60,96,688,53,12,42,0.828947368,800,0.473684211,5,0,0.150641026,0,0,14.93877551,6,2.1429,9
log4j,1,org.apache.log4j.AsyncAppender,12,2,0,9,39,14,0,9,12,0.863636364,174,0,3,0.620689655,0.375,2,3,13,4,1.3333,5
log4j,1,org.apache.log4j.helpers.Loader,4,1,0,0,15,6,0,0,4,2,73,0,0,0,0.333333333,0,0,17.25,1,0.75,3
log4j,1,org.apache.log4j.net.SMTPAppender,13,2,0,9,62,52,0,9,8,0.939814815,449,0,2,0.620689655,0.346153846,2,3,32.15384615,10,2.3846,3
log4j,1,org.apache.log4j.xml.DOMConfigurator,22,2,0,19,95,223,6,15,8,1.013605442,1176,0,0,0.375,0.216450216,1,1,51.18181818,11,3.2273,3
log4j,1,org.apache.log4j.helpers.OptionConverter,13,1,0,22,54,76,20,6,10,0.861111111,537,0,0,0,0.183333333,0,0,39.84615385,11,3,3
log4j,1,org.apache.log4j.net.SyslogAppender,12,2,0,10,35,24,0,10,11,0.994134897,531,0.064516129,2,0.666666667,0.366666667,2,4,40.66666667,23,5.0833,2
log4j,1,org.apache.log4j.helpers.LogLog,7,1,0,28,16,9,28,1,6,1,91,0.75,0,0,0.333333333,0,0,11.42857143,3,1.2857,2
log4j,1,org.apache.log4j.spi.LoggingEvent,9,1,0,53,27,20,50,4,6,0.894230769,151,0.076923077,2,0,0.232142857,0,0,14.33333333,3,1.3333,2
log4j,1,org.apache.log4j.HTMLLayout,10,2,0,6,33,33,0,6,9,0.933333333,321,0.6,0,0.470588235,0.325,1,1,30.6,5,1.7,2
log4j,1,org.apache.log4j.PropertyConfigurator,19,2,0,28,79,153,16,14,9,0.939814815,754,0.25,1,0.4,0.257309942,1,1,38.05263158,10,2.4211,2
log4j,1,org.apache.log4j.helpers.FileWatchdog,5,2,2,5,17,2,4,1,2,0.625,95,0.333333333,0,0.938461538,0.466666667,1,1,16.8,3,1.4,2
log4j,1,org.apache.log4j.Hierarchy,12,1,0,21,43,24,15,7,9,0.704545455,346,0.25,3,0,0.272727273,0,0,27.5,6,2.1667,2
log4j,1,org.apache.log4j.helpers.OnlyOnceErrorHandler,6,1,0,3,9,9,1,2,6,0.866666667,44,0,0,0,0.458333333,0,0,5.833333333,2,1.1667,1
log4j,1,org.apache.log4j.BasicConfigurator,14,1,2,20,42,91,9,11,9,1.051282051,247,0,0,0,0.134615385,0,0,16.42857143,3,1.2857,1
log4j,1,org.apache.log4j.RollingFileAppender,13,3,1,10,42,0,2,8,11,0.729166667,289,0.5,0,0.804878049,0.247863248,1,10,20.92307692,5,1.2308,1
log4j,1,org.apache.log4j.NDC,12,1,0,12,41,0,10,2,9,0.666666667,275,0,0,0,0.090909091,0,0,21.66666667,6,2.25,1
log4j,1,org.apache.log4j.Priority,10,1,2,40,13,15,40,0,8,0.811965812,169,0,5,0,0.333333333,0,0,14.6,7,2.1,1
log4j,1,org.apache.log4j.spi.LocationInfo,6,1,0,7,21,0,5,2,5,0.9,274,0.2,0,0,0.466666667,0,0,43,5,2.8333,1
log4j,1,org.apache.log4j.xml.XMLLayout,6,2,0,5,24,9,0,5,6,0.92,241,0.8,0,0.615384615,0.444444444,1,1,38.33333333,5,1.8333,1
log4j,1,org.apache.log4j.test.ShortSocketServer,7,1,0,5,35,15,0,5,2,0.75,179,0,1,0,0.25,0,0,24,2,1,1
log4j,1,org.apache.log4j.FileAppender,20,2,2,17,46,58,9,8,15,0.649122807,413,0.666666667,2,0.545454545,0.2375,1,3,19.2,7,1.65,1
log4j,1,org.apache.log4j.Appender,9,1,0,22,9,36,18,4,9,2,9,0,0,0,0.259259259,0,0,0,1,1,1
log4j,1,org.apache.log4j.nt.NTEventLogAppender,14,2,0,6,26,83,1,5,10,0.871794872,157,1,0,0.72,0.384615385,1,1,9.785714286,4,0.7143,1
log4j,1,org.apache.log4j.xml.examples.XCategory,10,2,0,7,27,29,1,7,8,0.911111111,145,0.2,1,0.854545455,0.777777778,1,4,13,3,1.4,1
log4j,1,org.apache.log4j.spi.Filter,5,1,3,8,6,10,6,2,5,1.25,13,0,1,0,0.466666667,0,0,0.8,1,0.8,1
log4j,1,org.apache.log4j.net.SocketAppender,14,2,0,8,43,41,3,6,10,0.846153846,359,0.153846154,1,0.620689655,0.244897959,2,3,23.71428571,6,1.6429,1
log4j,1,org.apache.log4j.net.SocketServer,8,1,0,6,49,6,0,6,2,0.666666667,389,0,3,0,0.257142857,0,0,46.5,3,1.75,1
log4j,1,org.apache.log4j.helpers.PatternParser,8,1,0,15,41,8,4,14,2,0.956043956,691,0.461538462,3,0,0.375,0,0,82.125,21,6.25,1
log4j,1,org.apache.log4j.performance.Logging,7,1,0,3,27,5,0,3,2,0.566666667,196,0,1,0,0.333333333,0,0,26.28571429,4,1.7143,1
log4j,1,org.apache.log4j.helpers.CyclicBuffer,7,1,0,4,13,0,3,1,7,0.366666667,236,0,1,0,0.523809524,0,0,32,6,2.5714,1
log4j,1,org.apache.log4j.varia.PriorityMatchFilter,4,2,0,4,8,0,0,4,4,0.916666667,69,0,1,0.571428571,0.5,0,0,15.25,4,2,1
log4j,1,org.apache.log4j.PatternLayout,9,2,0,13,18,30,9,4,8,0.9375,114,0.625,1,0.533333333,0.518518519,0,0,10.77777778,3,1.2222,1
log4j,1,org.apache.log4j.test.Shallow,8,1,0,4,38,24,0,4,2,0.714285714,322,0,1,0,0.214285714,0,0,39,2,1,1
log4j,1,org.apache.log4j.helpers.ISO8601DateFormat,4,4,0,3,12,6,2,1,4,2,99,0,0,0.953488372,0.357142857,1,3,23.75,3,1,0
log4j,1,org.apache.log4j.xml.Transform,2,1,0,0,3,1,0,0,2,2,6,0,0,0,0.5,0,0,2,1,0.5,0
log4j,1,org.apache.log4j.helpers.AppenderAttachableImpl,8,1,0,6,22,0,3,3,8,0.142857143,176,1,0,0,0.40625,0,0,20.875,5,3.125,0
log4j,1,org.apache.log4j.helpers.DateLayout,8,2,1,7,24,12,1,6,8,0.936507937,179,0.555555556,0,0.533333333,0.333333333,0,0,20.25,7,2.25,0
log4j,1,org.apache.log4j.Layout,10,1,5,34,13,45,32,2,9,1,28,0,0,0,0.407407407,0,0,1.6,1,0.8,0
