name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
ant,1.5,org.apache.tools.ant.taskdefs.Zip,34,4,1,25,138,421,3,22,17,0.863636364,1740,1,0,0.709090909,0.142045455,4,4,49.64705882,4,1.1471,2
ant,1.5,org.apache.tools.ant.taskdefs.Javadoc,81,3,0,35,213,2518,7,35,74,0.94,2199,0.966666667,10,0.318965517,0.1375,3,3,25.77777778,13,1.6543,2
ant,1.5,org.apache.tools.ant.taskdefs.cvslib.CvsTagDiff,21,3,0,8,73,74,0,8,17,0.886363636,669,0.727272727,2,0.649122807,0.232142857,1,1,30.33333333,3,1.0476,2
ant,1.5,org.apache.tools.ant.taskdefs.War,9,6,0,9,34,28,0,9,6,0.8125,166,1,0,0.950617284,0.4,4,9,17.22222222,2,1,1
ant,1.5,org.apache.tools.ant.taskdefs.condition.Http,4,2,0,4,15,0,1,3,4,0.333333333,109,1,0,0.75,0.5,0,0,25.75,1,0.75,1
ant,1.5,org.apache.tools.ant.taskdefs.FixCRLF,18,4,0,12,82,83,1,12,11,0.960151803,1238,1,1,0.821052632,0.181818182,2,2,66.05555556,8,1.8333,1
ant,1.5,org.apache.tools.ant.taskdefs.XmlProperty,9,3,0,4,41,14,0,4,8,0.791666667,334,1,0,0.822222222,0.355555556,1,1,35.44444444,11,2,1
ant,1.5,org.apache.tools.ant.TaskAdapter,6,3,0,7,24,9,4,4,5,0.8,231,0.5,0,0.880952381,0.266666667,1,1,37.16666667,1,0.8333,1
ant,1.5,org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,19,1,8,23,92,81,8,15,4,0.712560386,899,1,9,0,0.23015873,0,0,45.10526316,30,4.2632,1
ant,1.5,org.apache.tools.ant.taskdefs.Ear,7,6,0,9,32,13,0,9,4,0.75,150,1,0,0.9625,0.4,4,9,20.14285714,2,1,1
ant,1.5,org.apache.tools.ant.taskdefs.email.Message,9,2,0,5,20,0,3,2,9,0.5,141,1,0,0.6,0.416666667,0,0,14.22222222,1,0.6667,1
ant,1.5,org.apache.tools.ant.taskdefs.email.EmailTask,23,3,1,14,73,151,1,13,23,0.921717172,668,0.777777778,2,0.627118644,0.207729469,3,3,27.26086957,26,2.3913,1
ant,1.5,org.apache.tools.ant.taskdefs.Tar,11,4,0,17,83,11,0,17,9,0.916666667,671,0.25,2,0.886363636,0.25,2,2,58.90909091,2,1,1
ant,1.5,org.apache.tools.ant.taskdefs.Java,31,3,0,20,103,209,0,20,25,0.82,673,1,2,0.552238806,0.161290323,1,3,20.38709677,2,1.0323,1
