proj,ver,class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
synapse,1.1,org.apache.synapse.mediators.transform.XSLTMediator,16,2,0,30,103,48,2,28,12,0.866666667,932,0.833333333,0,0.464285714,0.2421875,0,0,56.5,33,4.0625,7
synapse,1.1,org.apache.synapse.util.TextFileDataSource,15,1,0,11,38,81,2,10,6,0.857142857,177,1,0,0,0.160714286,0,0,10.4,1,0.8667,5
synapse,1.1,org.apache.synapse.core.axis2.ProxyService,53,1,0,37,144,1172,9,30,47,0.941568047,1164,0.961538462,4,0,0.134615385,0,0,20.47169811,39,1.8302,4
synapse,1.1,org.apache.synapse.config.xml.ProxyServiceFactory,5,1,0,12,60,0,1,11,2,0.25,566,1,0,0,0.3125,0,0,112,39,8.2,4
synapse,1.1,org.apache.synapse.config.xml.endpoints.AddressEndpointFactory,8,1,0,11,56,20,1,10,4,0.714285714,468,1,1,0,0.261904762,0,0,57,31,5.125,3
synapse,1.1,org.apache.synapse.core.axis2.Axis2SynapseEnvironment,12,1,0,29,64,38,1,28,11,0.818181818,394,1,2,0,0.238636364,0,0,31.33333333,11,2.0833,3
synapse,1.1,org.apache.synapse.core.axis2.Axis2FlexibleMEPClient,9,1,0,39,96,30,1,38,3,0.625,556,1,0,0,0.196428571,0,0,60.66666667,6,2.3333,3
synapse,1.1,org.apache.synapse.config.xml.endpoints.AddressEndpointSerializer,5,1,0,15,37,2,1,14,3,0.625,372,1,0,0,0.375,0,0,73,22,5.4,3
synapse,1.1,org.apache.synapse.SynapseConstants,2,1,0,11,6,1,8,3,1,1.969230769,81,0,0,0,1,0,0,7,0,0,3
synapse,1.1,org.apache.synapse.mediators.eip.aggregator.AggregateMediator,30,2,0,14,74,299,2,12,28,0.898706897,594,1,2,0.317073171,0.172413793,0,0,18.26666667,22,2.0333,3
synapse,1.1,org.apache.synapse.core.axis2.SynapseCallbackReceiver,6,1,0,35,101,3,2,33,3,0.6,550,1,0,0,0.371428571,0,0,90.33333333,7,1.6667,3
synapse,1.1,org.apache.synapse.config.xml.endpoints.WSDLEndpointFactory,8,1,0,14,65,20,1,13,3,0.571428571,552,1,1,0,0.244897959,0,0,67.75,26,5.875,2
synapse,1.1,org.apache.synapse.mediators.eip.aggregator.Aggregate,16,1,0,4,29,58,1,3,15,0.858333333,199,1,0,0,0.277777778,0,0,10.9375,9,1.5625,2
synapse,1.1,org.apache.synapse.core.axis2.SynapseAxisServlet,3,4,0,4,13,1,0,4,3,2,35,0,0,0.964285714,0.555555556,1,6,10.66666667,1,0.6667,2
synapse,1.1,org.apache.synapse.config.xml.ProxyServiceSerializer,4,1,0,17,57,2,1,16,2,0.583333333,503,1,0,0,0.333333333,0,0,123.75,30,7.75,2
synapse,1.1,org.apache.synapse.config.xml.SynapseXMLConfigurationFactory,15,1,0,26,77,99,0,26,6,0.357142857,445,1,0,0,0.314285714,0,0,28.6,19,2.6,2
synapse,1.1,org.apache.synapse.mediators.transform.FaultMediator,24,2,0,28,87,150,2,26,18,0.873517787,595,0.727272727,0,0.361111111,0.2,0,0,23.33333333,16,2.9167,2
synapse,1.1,org.apache.synapse.core.axis2.DynamicAxisOperation,3,5,0,6,6,3,2,5,3,2,18,0,0,0.99047619,0.5,0,0,5,1,0.3333,2
synapse,1.1,org.apache.synapse.core.axis2.ProxyServiceMessageReceiver,8,2,0,20,62,0,1,20,4,0.535714286,523,1,1,0.333333333,0.404761905,1,2,63.875,4,1.625,2
synapse,1.1,org.apache.synapse.config.xml.endpoints.WSDLEndpointSerializer,5,1,0,15,38,2,1,14,3,0.625,374,1,0,0,0.35,0,0,73.4,19,5.6,2
synapse,1.1,org.apache.synapse.core.SynapseEnvironment,9,1,0,25,9,36,22,4,9,2,9,0,0,0,0.296296296,0,0,0,1,1,1
synapse,1.1,org.apache.synapse.config.xml.endpoints.FailoverEndpointSerializer,2,1,0,12,14,0,1,12,2,0,77,1,0,0,0.75,0,0,37,4,2,1
synapse,1.1,org.apache.synapse.config.xml.endpoints.FailoverEndpointFactory,8,1,0,10,29,20,1,10,3,0.714285714,125,1,1,0,0.244897959,0,0,14.375,3,1.25,1
synapse,1.1,org.apache.synapse.config.xml.endpoints.EndpointFactory,1,1,0,15,1,0,12,3,1,2,1,0,0,0,1,0,0,0,1,1,1
synapse,1.1,org.apache.synapse.config.xml.FaultMediatorSerializer,3,2,0,10,32,3,0,10,3,1.5,212,1,0,0.75,0.555555556,0,0,69,12,4.3333,1
synapse,1.1,org.apache.synapse.config.xml.endpoints.LoadbalanceEndpointFactory,8,1,0,13,35,20,1,13,3,0.714285714,152,1,1,0,0.244897959,0,0,17.75,5,1.5,1
synapse,1.1,org.apache.synapse.core.axis2.AnonymousServiceFactory,6,1,0,17,32,11,1,16,2,1.044444444,244,0.777777778,1,0,0.333333333,0,0,38.16666667,13,2.8333,1
synapse,1.1,org.apache.synapse.config.xml.FaultMediatorFactory,4,2,0,10,36,2,0,10,3,0.814814815,386,1,0,0.6,0.666666667,0,0,93.25,17,4.5,1
synapse,1.1,org.apache.synapse.config.SynapseConfigUtils,10,1,0,15,53,25,8,7,7,0.222222222,537,1,0,0,0.222222222,0,0,52.6,10,2.9,1
synapse,1.1,org.apache.synapse.config.xml.endpoints.IndirectEndpointFactory,7,1,0,9,17,13,1,8,3,0.666666667,69,1,1,0,0.25,0,0,8.571428571,2,0.8571,1
synapse,1.1,org.apache.synapse.config.SynapseConfiguration,47,1,0,42,105,589,23,20,45,0.860869565,933,0.9,1,0,0.144927536,0,0,18.63829787,8,2.0426,1
synapse,1.1,org.apache.synapse.config.xml.endpoints.SALoadbalanceEndpointSerializer,4,1,0,20,25,2,1,20,2,0.5,174,1,0,0,0.555555556,0,0,42,8,2.25,1
synapse,1.1,org.apache.synapse.config.xml.endpoints.EndpointSerializer,1,1,0,13,1,0,11,2,1,2,1,0,0,0,1,0,0,0,1,1,1
synapse,1.1,org.apache.synapse.config.xml.endpoints.EndpointAbstractSerializer,2,1,0,19,15,1,7,15,2,2,63,0,0,0,0.5,0,0,30.5,7,3.5,1
synapse,1.1,org.apache.synapse.config.xml.endpoints.XMLToEndpointMapper,4,1,0,8,8,4,1,7,2,0.666666667,32,1,1,0,0.5,0,0,6.75,2,0.75,1
