proj,ver,class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
camel,1.2,org.apache.camel.model.ProcessorType,94,1,11,63,186,4361,28,53,86,0.967741935,1012,0.8,3,0,0.067131328,0,0,9.712765957,2,1.0745,28
camel,1.2,org.apache.camel.management.CamelNamingStrategy,15,1,0,11,43,37,3,8,11,0.980952381,485,0.133333333,0,0,0.214814815,0,0,30.33333333,3,1.1333,10
camel,1.2,org.apache.camel.processor.TryProcessor,8,2,0,10,28,0,1,9,3,0.357142857,224,1,3,0.684210526,0.371428571,1,1,26.5,2,1,9
camel,1.2,org.apache.camel.component.bean.BeanInfo,13,1,0,23,77,48,1,22,5,0.738095238,614,1,4,0,0.314814815,0,0,45.69230769,8,2.6154,9
camel,1.2,org.apache.camel.management.InstrumentationLifecycleStrategy,9,1,0,20,27,6,1,19,8,0.416666667,147,1,3,0,0.265625,0,0,15,2,1.1111,9
camel,1.2,org.apache.camel.component.bean.BeanProcessor,13,2,0,22,47,44,6,16,10,0.797619048,248,0.857142857,3,0.590909091,0.229166667,1,1,17.53846154,2,0.8462,9
camel,1.2,org.apache.camel.component.file.FileEndpoint,37,3,0,21,61,598,8,19,34,0.932539683,335,1,2,0.375,0.143939394,1,1,7.675675676,6,1.2162,8
camel,1.2,org.apache.camel.util.ObjectHelper,30,1,0,73,92,429,69,4,28,0.896551724,693,1,1,0,0.103448276,1,1,22.06666667,8,2.7333,8
camel,1.2,org.apache.camel.processor.DeadLetterChannel,22,3,0,20,65,151,5,18,15,0.846560847,401,0.777777778,6,0.457142857,0.155844156,1,1,16.81818182,10,1.5455,7
camel,1.2,org.apache.camel.impl.DefaultCamelContext,52,2,1,36,112,1166,4,33,38,0.91349481,993,1,8,0.213114754,0.08875129,1,1,17.76923077,7,1.3846,7
camel,1.2,org.apache.camel.component.mock.MockEndpoint,47,2,0,23,100,943,9,22,38,0.87458194,1056,1,1,0.274193548,0.104859335,0,0,21.19148936,6,1.3617,7
camel,1.2,org.apache.camel.model.InterceptType,4,3,0,11,19,6,3,9,4,2,43,0,0,0.97029703,0.4375,0,0,9.75,1,0.75,7
camel,1.2,org.apache.camel.model.ChoiceType,13,2,0,12,37,42,4,9,13,0.611111111,175,1,1,0.885714286,0.276923077,1,4,12.23076923,3,1.1538,6
camel,1.2,org.apache.camel.util.ResolverUtil,12,1,0,7,62,28,2,5,7,0.545454545,507,1,1,0,0.329545455,0,0,41,6,2.3333,6
camel,1.2,org.apache.camel.component.file.FileConsumer,16,4,0,14,52,72,3,14,7,0.780952381,396,0.714285714,2,0.708333333,0.225,1,1,23.3125,10,2.3125,6
camel,1.2,org.apache.camel.builder.ExpressionClause,14,1,0,4,21,91,0,4,13,0.538461538,105,1,2,0,0.964285714,0,0,6.357142857,2,1,5
camel,1.2,org.apache.camel.model.TryType,11,3,0,8,30,37,1,8,10,0.525,212,1,1,0.907407407,0.272727273,1,14,17.90909091,6,1.6364,5
camel,1.2,org.apache.camel.processor.MulticastProcessor,8,2,1,8,23,8,2,6,5,0.285714286,82,1,0,0.65,0.375,1,1,9.125,1,0.875,5
camel,1.2,org.apache.camel.impl.converter.AnnotationTypeConverterLoader,8,1,1,13,64,12,2,11,2,0.785714286,388,0.75,2,0,0.321428571,0,0,47,11,2.125,5
camel,1.2,org.apache.camel.model.ResequencerType,24,2,0,16,56,218,3,15,20,0.753623188,275,1,2,0.808695652,0.284722222,1,4,10.20833333,4,1.0417,5
camel,1.2,org.apache.camel.util.ExchangeHelper,17,1,0,26,45,136,14,12,16,2,275,0,0,0,0.303921569,0,0,15.17647059,4,1.4706,5
camel,1.2,org.apache.camel.model.AggregatorType,14,3,0,13,32,37,3,12,14,0.692307692,154,1,1,0.910714286,0.223214286,0,0,9.785714286,1,0.7143,5
camel,1.2,org.apache.camel.model.RoutesType,24,1,0,11,47,226,1,10,23,0.850931677,244,1,1,0,0.154166667,0,0,8.875,1,0.9583,5
camel,1.2,org.apache.camel.management.InstrumentationAgentImpl,20,2,1,16,74,68,2,15,11,0.864661654,537,0.714285714,3,0.419354839,0.173684211,1,1,25.15,12,1.55,4
camel,1.2,org.apache.camel.impl.DefaultEndpoint,19,1,15,32,38,139,21,11,16,0.822222222,216,1,3,0,0.175438596,1,1,10.10526316,5,1.4737,4
camel,1.2,org.apache.camel.impl.DefaultLifecycleStrategy,6,1,0,6,7,15,1,5,6,2,14,0,0,0,0.361111111,0,0,1.333333333,1,0.8333,4
camel,1.2,org.apache.camel.impl.DefaultExchange,39,1,11,23,67,687,13,10,31,0.897368421,405,1,7,0,0.13377193,0,0,9.128205128,4,1.3846,4
camel,1.2,org.apache.camel.processor.BatchProcessor,17,2,2,12,45,56,2,10,11,0.84375,257,0.8,5,0.464285714,0.1796875,1,1,13.52941176,2,1,4
camel,1.2,org.apache.camel.component.file.FileProducer,8,3,0,9,50,14,1,9,5,0.642857143,295,1,2,0.76,0.285714286,0,0,35.625,5,1.375,4
camel,1.2,org.apache.camel.processor.aggregate.AggregationCollection,5,2,0,4,14,0,1,3,5,0.333333333,68,1,2,0.777777778,0.36,1,5,12,3,1.2,4
camel,1.2,org.apache.camel.model.ProceedType,4,2,0,3,6,6,1,3,4,2,14,0,0,0.96875,0.625,1,4,2.5,1,0.75,4
camel,1.2,org.apache.camel.model.RouteType,23,2,0,23,50,161,14,11,20,0.787878788,295,1,2,0.830357143,0.221590909,1,6,11.56521739,3,1,4
camel,1.2,org.apache.camel.view.NodeData,3,1,0,15,33,3,3,12,2,1.041666667,431,0.083333333,0,0,0.666666667,0,0,138.6666667,4,2,4
camel,1.2,org.apache.camel.spi.LifecycleStrategy,5,1,0,8,5,10,5,4,5,2,5,0,0,0,0.4,0,0,0,1,1,4
camel,1.2,org.apache.camel.component.vm.VmComponent,6,4,0,4,23,5,0,4,1,0.5,99,1,0,0.862068966,0.533333333,2,2,15.16666667,2,0.8333,4
camel,1.2,org.apache.camel.impl.RouteContext,13,1,0,48,36,58,35,16,13,0.805555556,183,1,4,0,0.196581197,0,0,12.61538462,6,1.5385,4
camel,1.2,org.apache.camel.model.InterceptorType,2,1,1,4,3,1,2,2,2,2,5,0,0,0,0.75,0,0,1.5,1,0.5,4
camel,1.2,org.apache.camel.model.MulticastType,4,3,0,8,12,6,4,4,3,2,28,0,0,0.97029703,0.5,1,3,6,1,0.75,4
camel,1.2,org.apache.camel.ProducerTemplate,27,1,0,6,27,351,1,5,27,2,27,0,0,0,0.412037037,0,0,0,1,1,3
camel,1.2,org.apache.camel.model.ThrottlerType,14,2,0,4,25,31,1,4,14,0.634615385,140,1,0,0.885714286,0.3,1,4,8.714285714,1,0.8571,3
camel,1.2,org.apache.camel.model.ExceptionType,28,2,0,14,58,302,7,9,26,0.802469136,303,1,2,0.788135593,0.146103896,1,4,9.607142857,3,1.0714,3
camel,1.2,org.apache.camel.impl.MessageSupport,14,1,1,7,26,79,2,5,12,0.788461538,118,1,2,0,0.256410256,0,0,7.142857143,3,1.1429,3
camel,1.2,org.apache.camel.model.OtherwiseType,4,3,0,9,11,6,6,4,4,2,25,0,0,0.97029703,0.625,1,2,5.25,1,0.75,3
camel,1.2,org.apache.camel.model.BeanRef,13,3,0,8,25,26,1,7,13,0.625,161,1,0,0.907407407,0.307692308,1,2,11.07692308,5,1.3077,3
camel,1.2,org.apache.camel.converter.ObjectConverter,6,1,0,9,18,15,8,1,5,2,102,0,0,0,0.333333333,0,0,16,5,2.8333,3
camel,1.2,org.apache.camel.management.InstrumentationProcessor,2,3,0,4,8,0,1,3,1,0,33,1,1,0.954545455,0.666666667,0,0,15,1,0.5,3
camel,1.2,org.apache.camel.impl.DefaultConsumer,10,2,12,22,21,17,13,9,7,0.777777778,90,1,4,0.590909091,0.28,1,1,7.6,2,1.1,3
camel,1.2,org.apache.camel.component.bean.BeanComponent,10,3,0,13,25,43,0,13,6,0.833333333,116,1,2,0.741935484,0.333333333,1,2,10.4,2,0.9,3
camel,1.2,org.apache.camel.model.CatchType,16,2,0,6,33,62,1,5,15,0.65,190,1,0,0.877358491,0.375,1,4,10.625,2,0.9375,3
camel,1.2,org.apache.camel.builder.RouteBuilder,19,2,3,17,44,55,7,12,15,0.666666667,168,1,1,0.622222222,0.131578947,1,3,7.684210526,2,0.9474,3
camel,1.2,org.apache.camel.model.FilterType,6,3,0,9,15,15,3,6,6,2,42,0,0,0.971428571,0.416666667,2,3,6,1,0.5,3
camel,1.2,org.apache.camel.util.CamelContextHelper,5,1,0,13,19,10,7,6,4,2,63,0,0,0,0.44,0,0,11.6,2,1,3
camel,1.2,org.apache.camel.builder.xml.XsltBuilder,25,1,0,12,64,230,0,12,22,0.65,318,1,2,0,0.13,0,0,11.52,3,1.04,3
camel,1.2,org.apache.camel.model.ExpressionNode,13,2,7,15,25,24,7,8,11,0.555555556,137,1,1,0.911764706,0.230769231,1,5,9.307692308,2,0.8462,3
camel,1.2,org.apache.camel.model.DelayerType,8,3,0,7,22,0,1,7,8,0.142857143,86,1,0,0.962264151,0.291666667,1,2,9.625,1,0.5,3
camel,1.2,org.apache.camel.model.MarshalType,9,3,0,8,18,4,1,7,9,0.5,92,1,1,0.942307692,0.388888889,1,2,9,2,0.8889,3
camel,1.2,org.apache.camel.impl.DefaultComponent,12,2,24,36,28,48,26,11,7,0.727272727,139,1,1,0.565217391,0.277777778,1,1,10.33333333,2,0.9167,3
camel,1.2,org.apache.camel.builder.DataTypeExpression,10,1,0,9,27,43,1,9,9,0,103,1,2,0,0.257142857,0,0,9.1,4,1.2,3
camel,1.2,org.apache.camel.model.language.ExpressionType,16,1,13,31,32,100,24,7,16,0.783333333,167,1,2,0,0.239583333,0,0,9.1875,3,1.0625,3
camel,1.2,org.apache.camel.builder.ExpressionBuilder,28,1,0,35,57,378,14,27,27,2,183,0,0,0,0.142857143,0,0,5.535714286,1,0.9643,3
